index,brand,title,price
120,联想（lenovo）,联想威6 2021款十一代酷睿i7/i5 15.6英寸超薄本设计商务办公全面屏学生轻薄手提,6499.00
121,联想（lenovo）,联想（Lenovo） 扬天 威6 14英寸十代酷睿轻薄便携学习游戏娱乐商务办公窄边框,4699.00
122,联想（lenovo）,联想拯救者Y7000 15.6英寸游戏,7299.00
123,联想（lenovo）,2020款15.6英寸4K屏酷睿i7标压轻薄游戏本编程设计商务办公,6799.00
124,联想（lenovo）,联想拯救者R7000 锐龙版R5/R7高性能吃鸡游戏本设计师Ps办公轻薄,6549.00
125,联想（lenovo）,联想拯救者r7000 p图设计锐龙R5/R7游戏本 2020款设计本学生用高色域全面屏,6299.00
126,联想（lenovo）,14英寸超轻薄手提,4099.00
127,联想（lenovo）,联想（Lenovo）V14 十代酷睿i7 14英寸超轻薄手提独显,5699.00
128,联想（lenovo）,联想,4099.00
129,联想（lenovo）,联想V15 2020款15.6英寸大屏锐龙R3全新商务办公学习娱乐学生轻薄便携,3599.00
130,联想（lenovo）,旗舰版锐龙,6299.00
131,联想（lenovo）,联想拯救者Y7000P 十代酷睿i7 电竞屏144Hz吃鸡高性能设计师游戏本,9799.00
132,联想（lenovo）,联想（Lenovo）YOGA S940 14.0英寸 英特尔酷睿i7 移动超能版 超轻薄,9599.00
133,联想（lenovo）,【十代,4299.00
134,联想（lenovo）,联想（Lenovo）,3399.00
135,联想（lenovo）,联想小新Air15 2021十一代酷睿i5高性能大屏设计轻薄学生游戏,5949.00
136,联想（lenovo）,联想(Lenovo)IdeaPad14s新款十代i3轻薄网课办公高性能,3699.00
137,联想（lenovo）,联想小新Air15 2021锐龙R7(全新7nm)八核超轻薄,5499.00
138,联想（lenovo）,联想(Lenovo)小新Air14 锐龙R5轻薄6核12线程全面屏娱乐办公设计网课学习,4599.00
139,联想（lenovo）,联想小新14 全新MX350独显十代超轻薄本酷睿i5,5599.00
140,联想（lenovo）,联想YOGA14s 2021 90Hz高刷新率超轻薄游戏,6599.00
141,联想（lenovo）,联想拯救者R7000 游戏本P高性能商务办公大学生设计师电竞吃鸡手提,6599.00
142,联想（lenovo）,联想拯救者y7000p八核旗舰酷睿i7 Adobe设计师电竞吃鸡 15.6英寸大学游戏,9999.00
143,联想（lenovo）,联想威6 2021款15.6英寸十一代酷睿i5/i7超薄本游戏商务办公全面屏学生轻薄手提,7699.00
144,联想（lenovo）,联想拯救者 R7000 2020版15.6英寸IPS全面屏高色域性能电竞游戏,6199.00
145,联想（lenovo）,联想威6 2021酷睿十一代i7 14英寸超轻薄,6499.00
146,联想（lenovo）,联想拯救者Y7000 2020新品酷睿i5/i7十代P高色域性能独显游戏本 吃鸡学生设计师,7089.00
147,联想（lenovo）,【电竞卡皇RTX2060光追显卡】联想拯救者Y7000 2020款15.6英寸p设计游戏,7199.00
148,联想（lenovo）,联想(Lenovo)拯救者R7000 锐龙R5六核芯高性能游戏本p 15.6英寸高色域吃鸡,6199.00
149,联想（lenovo）,联想拯救者Y9000K 2020款 高端电竞游戏,19999.00
150,联想（lenovo）,联想V15 2020款15.6英寸大屏锐龙R3全新商务办公学习娱乐学生轻薄便携,3199.00
151,联想（lenovo）,联想威6 超轻薄,5899.00
152,联想（lenovo）,联想小新Air14锐龙版 14英寸全面屏超轻薄,4299.00
153,联想（lenovo）,联想拯救者Y7000 Pr设计师办公,8989.00
154,联想（lenovo）,联想拯救者Y7000 2020新款十代酷睿i7吃鸡游戏本p 15.6英寸高色域设计办公学生,8099.00
155,联想（lenovo）,Pr设计师办公全面屏,6199.00
156,联想（lenovo）,联想V15 15.6英寸十代酷睿i5四核高性能独显设计轻薄学生游戏商务办公手提,5699.00
157,联想（lenovo）,联想（Lenovo）V14超轻薄,3699.00
158,联想（lenovo）,联想,3099.00
159,联想（lenovo）,联想（Lenovo）小新Air15 2021锐龙R7金属超轻薄,4949.00
160,联想（lenovo）,联想小新15 ,5999.00
161,联想（lenovo）,14英寸超轻薄高性能锐龙,4999.00
162,联想（lenovo）,15.6英寸全面屏超轻薄,5299.00
163,联想（lenovo）,联想（Lenovo）昭阳E4 14英寸高性能十代酷睿i5/i7轻薄学生商务办公设计制图,4899.00
164,联想（lenovo）,联想（Lenovo）拯救者r7000 15.6英寸吃鸡游戏,6099.00
